GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_treatment_protocol_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_phone,Sample_contact_department,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_state,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,cell type,protocol,Genome_build,Supplementary_files_format_and_content,BioSample,SRA
GSE109411,ATACseq_1a,GSM2942549,Public on Apr 17 2018,Jan 19 2018,Apr 17 2018,SRA,1,B-Chronic Lymphocytic Leukemia (CLL) cels,Homo sapiens,9606,a,RPMI 10% FBS,genomic DNA,"extract_protocol, Lysates were clarified from sonicated nuclei and histone-DNA complexes were isolated with antibody.","ChIP-seq reads from samples 1 and 2 were mapped to the human reference genome (GRCh37/hg19) using the bwa-0.6.1 with default parameters. Aligned and unaligned reads and their quality strings are contained in resulting bam files. Therefore, bam files are provided as raw data, ChIP seq reads from samples 3 and 4 were mapped to the human reference genome (GRCh37/hg19) using the bwa-0.7.12 with default parameters. Aligned and unaligned reads and their quality strings are contained in resulting bam files. Therefore, bam files are provided as raw data, Peak locations for BRD4 and H3K27 ChIP experiments were determined using the MACS -1.4.2 with a cutoff p-value of 1E-7 for narrow peaks and 1E-1 for broad peaks, Enriched regions for Pol2 ChIP experiments were identified using the SICER algorithm with a cutoff FDR of 1E-10 and gap parameter of 600bp, ChIP peak regions from multiple samples (of the same ChIP type) were merged, and aligned reads for these newly defined regions were caluclated (even for those where no peak was called). Then the resulting regions were annotated with gene information by calculating distances from RefSeq gene starts and ends to the center of the newly defined peak regions., ATAC-seq reads were mapped to the human reference genome (GRCh37/hg19) using the Bowtie2-2.2.6 with maximum fragment length of 1000 and no-mixed mode. Duplicates marked with Picard-1.140., DNase2hotspots software package (https://sourceforge.net/projects/dnase2hotspots) was used to identify hotspots (enriched regions) from ATAC-seq",GPL20301,"Hatice Gulcin,,Ozer",ozer.9@osu.edu,614-366-1538,Biomedical Informatics,The Ohio State University,1800 Cannon Dr,Columbus,OH,43210,USA,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,"GSE109411, GSE109593",0,GSM2942549_00251177-CpGminusDMSO-4_S4_L001_P0001_hotspot.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2942nnn/GSM2942549/suppl/GSM2942549_00251177-CpGminusDMSO-4_S4_L001_P0001_hotspot.bed.gz,ATACseq_1a,393282,BED,Primary B-CLL cells,baseline,GRCh37/hg19,ATAC-seq hotspots are reported in form of bedgraphs,https://www.ncbi.nlm.nih.gov/biosample/SAMN08378929,https://www.ncbi.nlm.nih.gov/sra?term
GSE109411,ATACseq_1b,GSM2942550,Public on Apr 17 2018,Jan 19 2018,Apr 17 2018,SRA,1,B-Chronic Lymphocytic Leukemia (CLL) cels,Homo sapiens,9606,a,RPMI 10% FBS,genomic DNA,"extract_protocol, Lysates were clarified from sonicated nuclei and histone-DNA complexes were isolated with antibody.","ChIP-seq reads from samples 1 and 2 were mapped to the human reference genome (GRCh37/hg19) using the bwa-0.6.1 with default parameters. Aligned and unaligned reads and their quality strings are contained in resulting bam files. Therefore, bam files are provided as raw data, ChIP seq reads from samples 3 and 4 were mapped to the human reference genome (GRCh37/hg19) using the bwa-0.7.12 with default parameters. Aligned and unaligned reads and their quality strings are contained in resulting bam files. Therefore, bam files are provided as raw data, Peak locations for BRD4 and H3K27 ChIP experiments were determined using the MACS -1.4.2 with a cutoff p-value of 1E-7 for narrow peaks and 1E-1 for broad peaks, Enriched regions for Pol2 ChIP experiments were identified using the SICER algorithm with a cutoff FDR of 1E-10 and gap parameter of 600bp, ChIP peak regions from multiple samples (of the same ChIP type) were merged, and aligned reads for these newly defined regions were caluclated (even for those where no peak was called). Then the resulting regions were annotated with gene information by calculating distances from RefSeq gene starts and ends to the center of the newly defined peak regions., ATAC-seq reads were mapped to the human reference genome (GRCh37/hg19) using the Bowtie2-2.2.6 with maximum fragment length of 1000 and no-mixed mode. Duplicates marked with Picard-1.140., DNase2hotspots software package (https://sourceforge.net/projects/dnase2hotspots) was used to identify hotspots (enriched regions) from ATAC-seq",GPL20301,"Hatice Gulcin,,Ozer",ozer.9@osu.edu,614-366-1538,Biomedical Informatics,The Ohio State University,1800 Cannon Dr,Columbus,OH,43210,USA,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,"GSE109411, GSE109593",0,GSM2942550_00251177-CpGplusDMSO-1_S1_L001_P0001_hotspot.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2942nnn/GSM2942550/suppl/GSM2942550_00251177-CpGplusDMSO-1_S1_L001_P0001_hotspot.bed.gz,ATACseq_1b,396216,BED,Primary B-CLL cells,4 hours stimulation with 3.2uM of CpG oligonucleotide,GRCh37/hg19,ATAC-seq hotspots are reported in form of bedgraphs,https://www.ncbi.nlm.nih.gov/biosample/SAMN08378928,https://www.ncbi.nlm.nih.gov/sra?term
GSE109411,ATACseq_1c,GSM2942551,Public on Apr 17 2018,Jan 19 2018,Apr 17 2018,SRA,1,B-Chronic Lymphocytic Leukemia (CLL) cels,Homo sapiens,9606,a,RPMI 10% FBS,genomic DNA,"extract_protocol, Lysates were clarified from sonicated nuclei and histone-DNA complexes were isolated with antibody.","ChIP-seq reads from samples 1 and 2 were mapped to the human reference genome (GRCh37/hg19) using the bwa-0.6.1 with default parameters. Aligned and unaligned reads and their quality strings are contained in resulting bam files. Therefore, bam files are provided as raw data, ChIP seq reads from samples 3 and 4 were mapped to the human reference genome (GRCh37/hg19) using the bwa-0.7.12 with default parameters. Aligned and unaligned reads and their quality strings are contained in resulting bam files. Therefore, bam files are provided as raw data, Peak locations for BRD4 and H3K27 ChIP experiments were determined using the MACS -1.4.2 with a cutoff p-value of 1E-7 for narrow peaks and 1E-1 for broad peaks, Enriched regions for Pol2 ChIP experiments were identified using the SICER algorithm with a cutoff FDR of 1E-10 and gap parameter of 600bp, ChIP peak regions from multiple samples (of the same ChIP type) were merged, and aligned reads for these newly defined regions were caluclated (even for those where no peak was called). Then the resulting regions were annotated with gene information by calculating distances from RefSeq gene starts and ends to the center of the newly defined peak regions., ATAC-seq reads were mapped to the human reference genome (GRCh37/hg19) using the Bowtie2-2.2.6 with maximum fragment length of 1000 and no-mixed mode. Duplicates marked with Picard-1.140., DNase2hotspots software package (https://sourceforge.net/projects/dnase2hotspots) was used to identify hotspots (enriched regions) from ATAC-seq",GPL20301,"Hatice Gulcin,,Ozer",ozer.9@osu.edu,614-366-1538,Biomedical Informatics,The Ohio State University,1800 Cannon Dr,Columbus,OH,43210,USA,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,"GSE109411, GSE109593",0,GSM2942551_00251177-CpGplusPLX5-2_S2_L001_P0001_hotspot.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2942nnn/GSM2942551/suppl/GSM2942551_00251177-CpGplusPLX5-2_S2_L001_P0001_hotspot.bed.gz,ATACseq_1c,382488,BED,Primary B-CLL cells,4 hours stimulation with 3.2uM of CpG oligonucleotide + 1 uM of BET inhibitor (PLX51107),GRCh37/hg19,ATAC-seq hotspots are reported in form of bedgraphs,https://www.ncbi.nlm.nih.gov/biosample/SAMN08378927,https://www.ncbi.nlm.nih.gov/sra?term
GSE109411,ATACseq_2a,GSM2942552,Public on Apr 17 2018,Jan 19 2018,Apr 17 2018,SRA,1,B-Chronic Lymphocytic Leukemia (CLL) cels,Homo sapiens,9606,a,RPMI 10% FBS,genomic DNA,"extract_protocol, Lysates were clarified from sonicated nuclei and histone-DNA complexes were isolated with antibody.","ChIP-seq reads from samples 1 and 2 were mapped to the human reference genome (GRCh37/hg19) using the bwa-0.6.1 with default parameters. Aligned and unaligned reads and their quality strings are contained in resulting bam files. Therefore, bam files are provided as raw data, ChIP seq reads from samples 3 and 4 were mapped to the human reference genome (GRCh37/hg19) using the bwa-0.7.12 with default parameters. Aligned and unaligned reads and their quality strings are contained in resulting bam files. Therefore, bam files are provided as raw data, Peak locations for BRD4 and H3K27 ChIP experiments were determined using the MACS -1.4.2 with a cutoff p-value of 1E-7 for narrow peaks and 1E-1 for broad peaks, Enriched regions for Pol2 ChIP experiments were identified using the SICER algorithm with a cutoff FDR of 1E-10 and gap parameter of 600bp, ChIP peak regions from multiple samples (of the same ChIP type) were merged, and aligned reads for these newly defined regions were caluclated (even for those where no peak was called). Then the resulting regions were annotated with gene information by calculating distances from RefSeq gene starts and ends to the center of the newly defined peak regions., ATAC-seq reads were mapped to the human reference genome (GRCh37/hg19) using the Bowtie2-2.2.6 with maximum fragment length of 1000 and no-mixed mode. Duplicates marked with Picard-1.140., DNase2hotspots software package (https://sourceforge.net/projects/dnase2hotspots) was used to identify hotspots (enriched regions) from ATAC-seq",GPL20301,"Hatice Gulcin,,Ozer",ozer.9@osu.edu,614-366-1538,Biomedical Informatics,The Ohio State University,1800 Cannon Dr,Columbus,OH,43210,USA,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,"GSE109411, GSE109593",0,GSM2942552_00252089-CpGminusDMSO-10_S10_L002_P0001_hotspot.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2942nnn/GSM2942552/suppl/GSM2942552_00252089-CpGminusDMSO-10_S10_L002_P0001_hotspot.bed.gz,ATACseq_2a,354291,BED,Primary B-CLL cells,baseline,GRCh37/hg19,ATAC-seq hotspots are reported in form of bedgraphs,https://www.ncbi.nlm.nih.gov/biosample/SAMN08378926,https://www.ncbi.nlm.nih.gov/sra?term
GSE109411,ATACseq_2b,GSM2942553,Public on Apr 17 2018,Jan 19 2018,Apr 17 2018,SRA,1,B-Chronic Lymphocytic Leukemia (CLL) cels,Homo sapiens,9606,a,RPMI 10% FBS,genomic DNA,"extract_protocol, Lysates were clarified from sonicated nuclei and histone-DNA complexes were isolated with antibody.","ChIP-seq reads from samples 1 and 2 were mapped to the human reference genome (GRCh37/hg19) using the bwa-0.6.1 with default parameters. Aligned and unaligned reads and their quality strings are contained in resulting bam files. Therefore, bam files are provided as raw data, ChIP seq reads from samples 3 and 4 were mapped to the human reference genome (GRCh37/hg19) using the bwa-0.7.12 with default parameters. Aligned and unaligned reads and their quality strings are contained in resulting bam files. Therefore, bam files are provided as raw data, Peak locations for BRD4 and H3K27 ChIP experiments were determined using the MACS -1.4.2 with a cutoff p-value of 1E-7 for narrow peaks and 1E-1 for broad peaks, Enriched regions for Pol2 ChIP experiments were identified using the SICER algorithm with a cutoff FDR of 1E-10 and gap parameter of 600bp, ChIP peak regions from multiple samples (of the same ChIP type) were merged, and aligned reads for these newly defined regions were caluclated (even for those where no peak was called). Then the resulting regions were annotated with gene information by calculating distances from RefSeq gene starts and ends to the center of the newly defined peak regions., ATAC-seq reads were mapped to the human reference genome (GRCh37/hg19) using the Bowtie2-2.2.6 with maximum fragment length of 1000 and no-mixed mode. Duplicates marked with Picard-1.140., DNase2hotspots software package (https://sourceforge.net/projects/dnase2hotspots) was used to identify hotspots (enriched regions) from ATAC-seq",GPL20301,"Hatice Gulcin,,Ozer",ozer.9@osu.edu,614-366-1538,Biomedical Informatics,The Ohio State University,1800 Cannon Dr,Columbus,OH,43210,USA,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,"GSE109411, GSE109593",0,GSM2942553_00252089-CpGplusDMSO-7_S7_L002_P0001_hotspot.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2942nnn/GSM2942553/suppl/GSM2942553_00252089-CpGplusDMSO-7_S7_L002_P0001_hotspot.bed.gz,ATACseq_2b,365765,BED,Primary B-CLL cells,4 hours stimulation with 3.2uM of CpG oligonucleotide,GRCh37/hg19,ATAC-seq hotspots are reported in form of bedgraphs,https://www.ncbi.nlm.nih.gov/biosample/SAMN08378925,https://www.ncbi.nlm.nih.gov/sra?term
GSE109411,ATACseq_2c,GSM2942554,Public on Apr 17 2018,Jan 19 2018,Apr 17 2018,SRA,1,B-Chronic Lymphocytic Leukemia (CLL) cels,Homo sapiens,9606,a,RPMI 10% FBS,genomic DNA,"extract_protocol, Lysates were clarified from sonicated nuclei and histone-DNA complexes were isolated with antibody.","ChIP-seq reads from samples 1 and 2 were mapped to the human reference genome (GRCh37/hg19) using the bwa-0.6.1 with default parameters. Aligned and unaligned reads and their quality strings are contained in resulting bam files. Therefore, bam files are provided as raw data, ChIP seq reads from samples 3 and 4 were mapped to the human reference genome (GRCh37/hg19) using the bwa-0.7.12 with default parameters. Aligned and unaligned reads and their quality strings are contained in resulting bam files. Therefore, bam files are provided as raw data, Peak locations for BRD4 and H3K27 ChIP experiments were determined using the MACS -1.4.2 with a cutoff p-value of 1E-7 for narrow peaks and 1E-1 for broad peaks, Enriched regions for Pol2 ChIP experiments were identified using the SICER algorithm with a cutoff FDR of 1E-10 and gap parameter of 600bp, ChIP peak regions from multiple samples (of the same ChIP type) were merged, and aligned reads for these newly defined regions were caluclated (even for those where no peak was called). Then the resulting regions were annotated with gene information by calculating distances from RefSeq gene starts and ends to the center of the newly defined peak regions., ATAC-seq reads were mapped to the human reference genome (GRCh37/hg19) using the Bowtie2-2.2.6 with maximum fragment length of 1000 and no-mixed mode. Duplicates marked with Picard-1.140., DNase2hotspots software package (https://sourceforge.net/projects/dnase2hotspots) was used to identify hotspots (enriched regions) from ATAC-seq",GPL20301,"Hatice Gulcin,,Ozer",ozer.9@osu.edu,614-366-1538,Biomedical Informatics,The Ohio State University,1800 Cannon Dr,Columbus,OH,43210,USA,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,"GSE109411, GSE109593",0,GSM2942554_00252089-CpGplusPLX5-8_S8_L002_P0001_hotspot.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2942nnn/GSM2942554/suppl/GSM2942554_00252089-CpGplusPLX5-8_S8_L002_P0001_hotspot.bed.gz,ATACseq_2c,308630,BED,Primary B-CLL cells,4 hours stimulation with 3.2uM of CpG oligonucleotide + 1 uM of BET inhibitor (PLX51107),GRCh37/hg19,ATAC-seq hotspots are reported in form of bedgraphs,https://www.ncbi.nlm.nih.gov/biosample/SAMN08378954,https://www.ncbi.nlm.nih.gov/sra?term
GSE109411,ATACseq_3a,GSM2942555,Public on Apr 17 2018,Jan 19 2018,Apr 17 2018,SRA,1,B-Chronic Lymphocytic Leukemia (CLL) cels,Homo sapiens,9606,a,RPMI 10% FBS,genomic DNA,"extract_protocol, Lysates were clarified from sonicated nuclei and histone-DNA complexes were isolated with antibody.","ChIP-seq reads from samples 1 and 2 were mapped to the human reference genome (GRCh37/hg19) using the bwa-0.6.1 with default parameters. Aligned and unaligned reads and their quality strings are contained in resulting bam files. Therefore, bam files are provided as raw data, ChIP seq reads from samples 3 and 4 were mapped to the human reference genome (GRCh37/hg19) using the bwa-0.7.12 with default parameters. Aligned and unaligned reads and their quality strings are contained in resulting bam files. Therefore, bam files are provided as raw data, Peak locations for BRD4 and H3K27 ChIP experiments were determined using the MACS -1.4.2 with a cutoff p-value of 1E-7 for narrow peaks and 1E-1 for broad peaks, Enriched regions for Pol2 ChIP experiments were identified using the SICER algorithm with a cutoff FDR of 1E-10 and gap parameter of 600bp, ChIP peak regions from multiple samples (of the same ChIP type) were merged, and aligned reads for these newly defined regions were caluclated (even for those where no peak was called). Then the resulting regions were annotated with gene information by calculating distances from RefSeq gene starts and ends to the center of the newly defined peak regions., ATAC-seq reads were mapped to the human reference genome (GRCh37/hg19) using the Bowtie2-2.2.6 with maximum fragment length of 1000 and no-mixed mode. Duplicates marked with Picard-1.140., DNase2hotspots software package (https://sourceforge.net/projects/dnase2hotspots) was used to identify hotspots (enriched regions) from ATAC-seq",GPL20301,"Hatice Gulcin,,Ozer",ozer.9@osu.edu,614-366-1538,Biomedical Informatics,The Ohio State University,1800 Cannon Dr,Columbus,OH,43210,USA,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,"GSE109411, GSE109593",0,GSM2942555_Veh3a_S31_L006_P0001_hotspot.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2942nnn/GSM2942555/suppl/GSM2942555_Veh3a_S31_L006_P0001_hotspot.bed.gz,ATACseq_3a,335161,BED,Primary B-CLL cells,baseline,GRCh37/hg19,ATAC-seq hotspots are reported in form of bedgraphs,https://www.ncbi.nlm.nih.gov/biosample/SAMN08378924,https://www.ncbi.nlm.nih.gov/sra?term
GSE109411,ATACseq_3b,GSM2942556,Public on Apr 17 2018,Jan 19 2018,Apr 17 2018,SRA,1,B-Chronic Lymphocytic Leukemia (CLL) cels,Homo sapiens,9606,a,RPMI 10% FBS,genomic DNA,"extract_protocol, Lysates were clarified from sonicated nuclei and histone-DNA complexes were isolated with antibody.","ChIP-seq reads from samples 1 and 2 were mapped to the human reference genome (GRCh37/hg19) using the bwa-0.6.1 with default parameters. Aligned and unaligned reads and their quality strings are contained in resulting bam files. Therefore, bam files are provided as raw data, ChIP seq reads from samples 3 and 4 were mapped to the human reference genome (GRCh37/hg19) using the bwa-0.7.12 with default parameters. Aligned and unaligned reads and their quality strings are contained in resulting bam files. Therefore, bam files are provided as raw data, Peak locations for BRD4 and H3K27 ChIP experiments were determined using the MACS -1.4.2 with a cutoff p-value of 1E-7 for narrow peaks and 1E-1 for broad peaks, Enriched regions for Pol2 ChIP experiments were identified using the SICER algorithm with a cutoff FDR of 1E-10 and gap parameter of 600bp, ChIP peak regions from multiple samples (of the same ChIP type) were merged, and aligned reads for these newly defined regions were caluclated (even for those where no peak was called). Then the resulting regions were annotated with gene information by calculating distances from RefSeq gene starts and ends to the center of the newly defined peak regions., ATAC-seq reads were mapped to the human reference genome (GRCh37/hg19) using the Bowtie2-2.2.6 with maximum fragment length of 1000 and no-mixed mode. Duplicates marked with Picard-1.140., DNase2hotspots software package (https://sourceforge.net/projects/dnase2hotspots) was used to identify hotspots (enriched regions) from ATAC-seq",GPL20301,"Hatice Gulcin,,Ozer",ozer.9@osu.edu,614-366-1538,Biomedical Informatics,The Ohio State University,1800 Cannon Dr,Columbus,OH,43210,USA,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,"GSE109411, GSE109593",0,GSM2942556_PLX3b_S32_L006_P0001_hotspot.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2942nnn/GSM2942556/suppl/GSM2942556_PLX3b_S32_L006_P0001_hotspot.bed.gz,ATACseq_3b,313328,BED,Primary B-CLL cells,4 hours stimulation with 3.2uM of CpG oligonucleotide,GRCh37/hg19,ATAC-seq hotspots are reported in form of bedgraphs,https://www.ncbi.nlm.nih.gov/biosample/SAMN08378958,https://www.ncbi.nlm.nih.gov/sra?term
GSE109411,ATACseq_3c,GSM2942557,Public on Apr 17 2018,Jan 19 2018,Apr 17 2018,SRA,1,B-Chronic Lymphocytic Leukemia (CLL) cels,Homo sapiens,9606,a,RPMI 10% FBS,genomic DNA,"extract_protocol, Lysates were clarified from sonicated nuclei and histone-DNA complexes were isolated with antibody.","ChIP-seq reads from samples 1 and 2 were mapped to the human reference genome (GRCh37/hg19) using the bwa-0.6.1 with default parameters. Aligned and unaligned reads and their quality strings are contained in resulting bam files. Therefore, bam files are provided as raw data, ChIP seq reads from samples 3 and 4 were mapped to the human reference genome (GRCh37/hg19) using the bwa-0.7.12 with default parameters. Aligned and unaligned reads and their quality strings are contained in resulting bam files. Therefore, bam files are provided as raw data, Peak locations for BRD4 and H3K27 ChIP experiments were determined using the MACS -1.4.2 with a cutoff p-value of 1E-7 for narrow peaks and 1E-1 for broad peaks, Enriched regions for Pol2 ChIP experiments were identified using the SICER algorithm with a cutoff FDR of 1E-10 and gap parameter of 600bp, ChIP peak regions from multiple samples (of the same ChIP type) were merged, and aligned reads for these newly defined regions were caluclated (even for those where no peak was called). Then the resulting regions were annotated with gene information by calculating distances from RefSeq gene starts and ends to the center of the newly defined peak regions., ATAC-seq reads were mapped to the human reference genome (GRCh37/hg19) using the Bowtie2-2.2.6 with maximum fragment length of 1000 and no-mixed mode. Duplicates marked with Picard-1.140., DNase2hotspots software package (https://sourceforge.net/projects/dnase2hotspots) was used to identify hotspots (enriched regions) from ATAC-seq",GPL20301,"Hatice Gulcin,,Ozer",ozer.9@osu.edu,614-366-1538,Biomedical Informatics,The Ohio State University,1800 Cannon Dr,Columbus,OH,43210,USA,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,"GSE109411, GSE109593",0,GSM2942557_Cpg3c_S33_L006_P0001_hotspot.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2942nnn/GSM2942557/suppl/GSM2942557_Cpg3c_S33_L006_P0001_hotspot.bed.gz,ATACseq_3c,384346,BED,Primary B-CLL cells,4 hours stimulation with 3.2uM of CpG oligonucleotide + 1 uM of BET inhibitor (PLX51107),GRCh37/hg19,ATAC-seq hotspots are reported in form of bedgraphs,https://www.ncbi.nlm.nih.gov/biosample/SAMN08378957,https://www.ncbi.nlm.nih.gov/sra?term
GSE109411,ATACseq_4a,GSM2942558,Public on Apr 17 2018,Jan 19 2018,Apr 17 2018,SRA,1,B-Chronic Lymphocytic Leukemia (CLL) cels,Homo sapiens,9606,a,RPMI 10% FBS,genomic DNA,"extract_protocol, Lysates were clarified from sonicated nuclei and histone-DNA complexes were isolated with antibody.","ChIP-seq reads from samples 1 and 2 were mapped to the human reference genome (GRCh37/hg19) using the bwa-0.6.1 with default parameters. Aligned and unaligned reads and their quality strings are contained in resulting bam files. Therefore, bam files are provided as raw data, ChIP seq reads from samples 3 and 4 were mapped to the human reference genome (GRCh37/hg19) using the bwa-0.7.12 with default parameters. Aligned and unaligned reads and their quality strings are contained in resulting bam files. Therefore, bam files are provided as raw data, Peak locations for BRD4 and H3K27 ChIP experiments were determined using the MACS -1.4.2 with a cutoff p-value of 1E-7 for narrow peaks and 1E-1 for broad peaks, Enriched regions for Pol2 ChIP experiments were identified using the SICER algorithm with a cutoff FDR of 1E-10 and gap parameter of 600bp, ChIP peak regions from multiple samples (of the same ChIP type) were merged, and aligned reads for these newly defined regions were caluclated (even for those where no peak was called). Then the resulting regions were annotated with gene information by calculating distances from RefSeq gene starts and ends to the center of the newly defined peak regions., ATAC-seq reads were mapped to the human reference genome (GRCh37/hg19) using the Bowtie2-2.2.6 with maximum fragment length of 1000 and no-mixed mode. Duplicates marked with Picard-1.140., DNase2hotspots software package (https://sourceforge.net/projects/dnase2hotspots) was used to identify hotspots (enriched regions) from ATAC-seq",GPL20301,"Hatice Gulcin,,Ozer",ozer.9@osu.edu,614-366-1538,Biomedical Informatics,The Ohio State University,1800 Cannon Dr,Columbus,OH,43210,USA,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,"GSE109411, GSE109593",0,GSM2942558_Veh4a_S35_L006_P0001_hotspot.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2942nnn/GSM2942558/suppl/GSM2942558_Veh4a_S35_L006_P0001_hotspot.bed.gz,ATACseq_4a,398963,BED,Primary B-CLL cells,baseline,GRCh37/hg19,ATAC-seq hotspots are reported in form of bedgraphs,https://www.ncbi.nlm.nih.gov/biosample/SAMN08378956,https://www.ncbi.nlm.nih.gov/sra?term
